unitid,academic_year,food_housing,other_expenses,books_supplies,tuition_fees_instate,source_file
107327,2009-10,8783.0,6412.0,1446.0,1944.0,IC2012_AY
107327,2010-11,9761.0,5387.0,1446.0,2000.0,IC2012_AY
107327,2011-12,10727.0,5920.0,1446.0,2038.0,IC2012_AY
107327,2012-13,11706.0,6460.0,1298.0,2150.0,IC2012_AY
107327,2013-14,11969.0,6606.0,1172.0,2234.0,IC2016_AY
107327,2014-15,6102.0,4422.0,1184.0,2234.0,IC2016_AY
107327,2015-16,7632.0,4459.0,1335.0,2430.0,IC2016_AY
107327,2016-17,7430.0,4529.0,1308.0,2486.0,IC2019_AY
107327,2017-18,7464.0,4535.0,1301.0,2570.0,IC2019_AY
107327,2018-19,7675.0,4645.0,1272.0,2598.0,IC2019_AY
107327,2019-20,7749.0,4708.0,994.0,2626.0,IC2019_AY
107327,2020-21,7749.0,4836.0,794.0,2654.0,IC2023_AY
107327,2021-22,7749.0,4927.0,751.0,2738.0,IC2023_AY
107327,2022-23,9495.0,4977.0,820.0,2822.0,IC2023_AY
107327,2023-24,9495.0,5372.0,807.0,2850.0,IC2023_AY
157401,2009-10,6244.0,3000.0,990.0,5976.0,IC2012_AY
157401,2010-11,6778.0,3670.0,1000.0,6264.0,IC2012_AY
157401,2011-12,6984.0,3821.0,1226.0,6576.0,IC2012_AY
157401,2012-13,7384.0,2774.0,1285.0,6840.0,IC2012_AY
157401,2013-14,7736.0,2802.0,1316.0,7044.0,IC2016_AY
157401,2014-15,7912.0,2796.0,1314.0,7392.0,IC2016_AY
157401,2015-16,8206.0,2876.0,1345.0,7608.0,IC2016_AY
157401,2016-17,8588.0,3547.0,1237.0,8400.0,IC2019_AY
157401,2017-18,8906.0,4541.0,1265.0,8820.0,IC2019_AY
157401,2018-19,9190.0,4535.0,1258.0,9084.0,IC2019_AY
157401,2019-20,10390.0,4570.0,1260.0,9168.0,IC2019_AY
157401,2020-21,10370.0,5015.0,1260.0,9168.0,IC2023_AY
157401,2021-22,10717.0,4990.0,1260.0,9252.0,IC2023_AY
157401,2022-23,10824.0,4715.0,780.0,9432.0,IC2023_AY
157401,2023-24,12534.0,5717.0,900.0,9708.0,IC2023_AY
220057,2009-10,7658.0,2540.0,1100.0,2934.0,IC2012_AY
220057,2010-11,8120.0,2540.0,1100.0,3103.0,IC2012_AY
220057,2011-12,8167.0,2526.0,1100.0,3387.0,IC2012_AY
220057,2012-13,8378.0,2580.0,1100.0,3531.0,IC2012_AY
220057,2013-14,8618.0,2580.0,1200.0,3627.0,IC2016_AY
220057,2014-15,8752.0,2580.0,1200.0,3827.0,IC2016_AY
220057,2015-16,8828.0,2580.0,1200.0,3947.0,IC2016_AY
220057,2016-17,8910.0,2580.0,1200.0,4229.0,IC2019_AY
220057,2017-18,9045.0,2580.0,1200.0,4331.0,IC2019_AY
220057,2018-19,9105.0,2580.0,1200.0,4235.0,IC2019_AY
220057,2019-20,9368.0,2580.0,1200.0,4338.0,IC2019_AY
220057,2020-21,9368.0,2580.0,1200.0,4338.0,IC2023_AY
220057,2021-22,9660.0,2580.0,1200.0,4410.0,IC2023_AY
220057,2022-23,9330.0,2400.0,1460.0,4410.0,IC2023_AY
220057,2023-24,9610.0,4240.0,1460.0,4540.0,IC2023_AY
220400,2009-10,10604.0,4306.0,1000.0,2953.0,IC2012_AY
220400,2010-11,11144.0,4544.0,1200.0,3193.0,IC2012_AY
220400,2011-12,10984.0,4544.0,1200.0,3364.0,IC2012_AY
220400,2012-13,10824.0,4632.0,1200.0,3508.0,IC2012_AY
220400,2013-14,10680.0,4670.0,1200.0,3604.0,IC2016_AY
220400,2014-15,10824.0,4670.0,1200.0,3804.0,IC2016_AY
220400,2015-16,10824.0,4670.0,1200.0,3933.0,IC2016_AY
220400,2016-17,10824.0,4670.0,1200.0,4029.0,IC2019_AY
220400,2017-18,10886.0,4720.0,1200.0,4125.0,IC2019_AY
220400,2018-19,10886.0,4720.0,1200.0,4221.0,IC2019_AY
220400,2019-20,10886.0,4720.0,1200.0,4324.0,IC2019_AY
220400,2020-21,10886.0,4720.0,1200.0,4324.0,IC2023_AY
220400,2021-22,10886.0,4720.0,1200.0,4618.0,IC2023_AY
220400,2022-23,10886.0,4720.0,1200.0,4618.0,IC2023_AY
220400,2023-24,10886.0,4720.0,1200.0,4516.0,IC2023_AY
221768,2009-10,,,1500.0,5769.0,IC2012_AY
221768,2010-11,,,1500.0,6190.0,IC2012_AY
221768,2011-12,,,1500.0,6716.0,IC2012_AY
221768,2012-13,7676.0,4470.0,1600.0,7049.0,IC2012_AY
221768,2013-14,7768.0,4512.0,1600.0,7514.0,IC2016_AY
221768,2014-15,7862.0,4554.0,1600.0,8024.0,IC2016_AY
221768,2015-16,7920.0,4608.0,1400.0,8326.0,IC2016_AY
221768,2016-17,7996.0,5518.0,1400.0,9088.0,IC2019_AY
221768,2017-18,8068.0,5092.0,1250.0,9236.0,IC2019_AY
221768,2018-19,7996.0,5518.0,1400.0,9512.0,IC2019_AY
221768,2019-20,7996.0,5518.0,1400.0,9748.0,IC2019_AY
221768,2020-21,7996.0,5518.0,1400.0,9748.0,IC2023_AY
221768,2021-22,8613.0,5518.0,1500.0,9912.0,IC2023_AY
221768,2022-23,9184.0,5614.0,1500.0,9912.0,IC2023_AY
221768,2023-24,10296.0,6600.0,1500.0,10208.0,IC2023_AY
