unitid,cohort_year,cohort,awarded_8yr,still_enrolled,enrolled_elsewhere,unknown,awarded_6yr,source_file
107327,2009-10,449,126,14,147,162,117,OM2017_RV
107327,2010-11,459,123,12,122,202,114,OM2018_RV
107327,2011-12,338,114,0,91,133,111,OM2019_RV
107327,2012-13,303,111,8,80,104,104,OM2020_RV
107327,2013-14,249,89,6,51,103,87,OM2021_RV
107327,2014-15,230,87,0,57,86,84,OM2022_RV
107327,2015-16,215,94,4,31,86,89,OM2023_RV
107327,2016-17,232,127,2,67,36,123,OM2024
157401,2009-10,1438,727,19,377,315,697,OM2017_RV
157401,2010-11,1436,729,10,411,286,695,OM2018_RV
157401,2011-12,1589,794,2,441,352,768,OM2019_RV
157401,2012-13,1658,946,1,232,479,900,OM2020_RV
157401,2013-14,1652,907,11,236,498,882,OM2021_RV
157401,2014-15,1549,836,9,223,481,806,OM2022_RV
157401,2015-16,1507,860,8,190,449,835,OM2023_RV
157401,2016-17,1526,911,6,224,385,888,OM2024
220057,2009-10,917,149,11,207,550,140,OM2017_RV
220057,2010-11,897,149,13,196,539,137,OM2018_RV
220057,2011-12,788,152,9,62,565,148,OM2019_RV
220057,2012-13,707,123,12,145,427,122,OM2020_RV
220057,2013-14,479,124,6,223,126,118,OM2021_RV
220057,2014-15,446,120,2,124,200,116,OM2022_RV
220057,2015-16,587,183,5,102,297,177,OM2023_RV
220057,2016-17,581,176,11,115,279,172,OM2024
220400,2009-10,1315,218,26,295,776,195,OM2017_RV
220400,2010-11,1291,229,36,128,898,210,OM2018_RV
220400,2011-12,1196,226,20,67,883,205,OM2019_RV
220400,2012-13,953,201,15,60,677,194,OM2020_RV
220400,2013-14,845,198,17,84,546,187,OM2021_RV
220400,2014-15,888,251,11,209,417,240,OM2022_RV
220400,2015-16,1122,332,14,200,576,328,OM2023_RV
220400,2016-17,1106,309,18,226,553,300,OM2024
221768,2009-10,1424,668,11,488,257,627,OM2017_RV
221768,2010-11,1344,687,18,384,255,645,OM2018_RV
221768,2011-12,1350,685,4,362,299,658,OM2019_RV
221768,2012-13,1379,679,6,372,322,649,OM2020_RV
221768,2013-14,1369,634,7,352,376,634,OM2021_RV
221768,2014-15,1232,647,3,292,290,647,OM2022_RV
221768,2015-16,1073,557,5,250,261,539,OM2023_RV
221768,2016-17,966,506,4,223,233,495,OM2024
